en;nl;fr;de;sv;pl;no
Notes;Notities;Remarques;Notizen;Anmärkningar;Notatki;Notater 
Continue;Doorgaan;Continuer;Fortsetzen;Fortsätt;Kontynuuj;Fortsette 
Address;Adres;Adresse;Adresse;Adress;Adres;Adresse 
Categories;Categorieën;Catégories;Kategorien;Kategorier;Kategorie;Kategorier 
City;Woonplaats;Ville;Stadt;Stad;Miasto;By 
Close;Sluiten;Fermer;Schliessen;Stäng;Zamknij;Lukk
Centimeter;Centimeter;Centimètre;Zentimeter;Centimeter;Centrymetr;Centimeter
Configure;Configureren;Configurer;Konfigurieren;Konfigurera;Konfiguruj;Konfigurere 
Cubic Meter;Kubieke meter;Mètre cubique;Kubikmeter;Kubikmeter;Metry kwadratowe;Kubikkmeter
Degrees;Graden;Dégras;Grad;Grader;Stopnie;Grader 
Hour;Uur;Heure;Stunde;Timme;Godzina;Time 
Liter;liter;Litre;Liter;Liter;Litr;Liter
Meter;Meter;Mètre;Meter;Meter;Metr;Meter
Millimeter;Millimeter;Millimètre;Millimeter;Millimeter;Milimetr;Millimeter
First name;Voornaam;Prénom;Vorname;Förnamn;Imię;Fornavn 
House number;Huisnummer;Numéro de la maison;Hausnummer;Husnummer;Numer domu;Husnummer 
Last name;Achternaam;Nom de famille;Nachname;Efternamn;Nazwisko;Etternavn 
Ms;Mevr.;Madame;Frau;;Pani;Ms 
Mobile phone number;Mobiele telefoonnummer;Numéro de téléphone mobile;Handynummer;Mobiltelefonnummer;Numer telefonu komórkowego;Mobilnummer 
More Info;Meer Info;Plus d'informations;Mehr Informationen;Mer information;Więcej informacji;Mer info 
Pieces;Stuks;Pièces;Stück;Stycken;Sztuki;Stykker 
Product name;Product naam;Nom du produit;Produktname;Produktnamn;Nazwa produktu;Produktnavn 
Quantity;Aantal;Numéro;Anzahl;Kvantitet;Ilość;Kvantitet 
Square Meter;Vierkante meter;Mètre carré;Quadratmeter;Kvadratmeter;Metr kwadratowy;Kvadratmeter
Phone number;Telefoonnummer;Numéro de téléphone;Telefonnummer;Telefonnummer;Numer telefonu;Telefonnummer 
Postal code;Postcode;Code postal;Postleitzahl;Postnummer;Kod pocztowy;Postnummer 
Remarks;Opmerkingen;Remarques;Kommentare;Anmärkningar;Uwagi;Merknader 
Request quote;Offerte aanvragen;Devis requise;Angebot anfordern;Begäran om offert;Poproś o ofertę;Be om tilbud 
Mr;De heer;Monsieur;Herr;Mr;Pan;Herr 
Starting price*;Vanaf:;prix de départ* ;Eintrittspreis*;Utgångspris*;Cena wyściowa*;Startpris* 
Starting price;vanaf:;du prix;ab einem Wert von;Utgångspris;Cena wyściowa*;Startpris 
Total price*;Totaal*;Prix total* ;Gesamtpreis*;Totalt pris*;Cena całkowita*;Totalpris* 
Base price*;Basis prijs*;Prix de base*;Standardpreis*;Grundpris*;Cena podstawowa*;Grunnpris* 
Additional options*;Toegevoegde opties*;Options additionnelles*;Zusatzoptionen*;Ytterligare tillval*;Dodatkowe opcje*;Flere alternativer* 
Share;Delen;Partager;Aktie (zn) / beteiligen (ww);Aktie;Udostępnij;Dele
Your personal configuration code;Uw persoonlijke configuratie code;Votre code de configuration personnel;Ihr persönlicher Konfigurationscode;Din personliga konfigurationskod;Twój osobisty kod konfiguracji;Din personlige konfigurasjonskode
Your:;Uw:;Votre:;Ihr(e):;Din:;Twój:;Din: 
Back to Configuration;Terug naar configuratie;Retour Ã  la configuration;Zuruck zur Konfiguration;Tillbaka till konfigurationen;Wróć do Konfiguracji;Tilbake til konfigurasjon 
Accept changes;Wijzigingen accepteren;Accepter les modifications;Änderungen übernehmen;Acceptera ändringar;Zaakceptuj zmiany;Godta endringer
d;d;j;Tg.;d;d;d 
Days;Dagen;Journées;Tage;Dagar;Dni;Dager 
j;j;a;Jr.;j;r;j 
Lease price;Lease prijs;Prix ??de location;Leasingpreis;Pris för leasing;Cena leasingu;Leiepris 
Lease term;Leasetermijn;Duré du bail;Laufzeit des Leasingvertrags;Hyrestiden;Warunki leasingu;Leieperiode 
m;m;m;M.;m;m;m 
Months;Maanden;Mois;Monate;Månader;Miesiące;Måneder 
w;w;s;W.;w;t;u 
Weeks;Weken;Semaines;Wochen;Veckor;Tygodnie;Uker
Years;Jaren;années;Jahre;År;Lata;År 
Description;Omschrijving;La description;Beschreibung;Beskrivning;Opis;Beskrivelse 
Unit price*;Prijs*;prix unitaire;Stückpreis* / Einzelpreis*;Pris per enhet*;Cena jednostkowa*;Enhetspris* 
Overview;Overzicht;aperçu;Übersicht;Översikt;Podgląd;Oversikt
*Prices do not include VAT;* Prijzen zijn exclusief btw;* Les prix n'incluent pas la TVA;* Preise excl. MwSt;*Priserna inkluderar inte moms;*Cena nie zawiera VAT;*Prisene inkluderer ikke moms 
*Prices include VAT;* Prijzen zijn inclusief btw;* Les prix incluent la TVA;* Preise inkl. MwSt;*Priserna inkluderar moms;*Cena zawiera VAT;*Prisene inkluderer merverdiavgift
day;dag;journée;Tag;dag;dzień; dag 
mo;mnd.;ms;Mon.;mo;mies.;mnd
wk;wk.;smn;Wo.;vecka;tydz.;uke
yr;jr.;an;Jr.;år;r.;År 
Gram;Gram;Gramme;Gramm;Gram;Gram;Gram 
Kilogram;Kilogram;Kilogramme;Kilogramm;Kilogram;Kilogram;Kilogram 
Milligram;Milligram;Milligramme;Milligramm;Milligram;Miligram;Milligram 
Contact Info;Contact informatie;Informations de contact;Kontakt Informationen;Kontaktuppgifter;Informacje kontaktowe;Kontaktinformasjon 
Personal Info;Persoonlijke informatie;Informations personnelles;Persönliche Informationen;Personlig information;Dane osobowe;Personlig info 
Your request has been submitted!;Uw aanvraag is verzonden!;Votre demande a été envoyée !;Ihre Anfrage wurde gesendet!;Din förfrågan har skickats!;Twoje zapytanie zostało wysłane!;Din forespørsel er sendt! 
Download Pdf;Download Pdf;Télécharger le fichier PDF;PDF Herunterladen;Ladda ner Pdf;Pobierz plik PDF;Last ned PDF 
Email Pdf;Email Pdf;Email le fichier PDF;E-Mail PDF;E-post Pdf;Wyślij email z Pdf;Send PDF på e-post 
Email;Email;Email;E-Mail;E-post;Email;E-post 
Add configuration;Extra configuratie toevoegen;Ajouter une configuration;Konfiguration hinzufügen;Lägg till konfiguration;Dodaj konfigurację;Legg til konfigurasjon 
Add to quotation;Toevoegen aan offerte;Ajouter au devis;An das Angebot hinzufügen;Lägg till i offert;Dodaj do oferty;Legg til i tilbud 
Additional options;Toegevoegde opties;Options additionnelles;Zusatzoptionen;Ytterligare alternativ;Dodatkowe opcje;Flere alternativer 
Base price;Basis prijs;Prix de base;Standardpreis;Grundpris;Cena podstawowa;Grunnpris 
Total price;Totaal;Prix total;Gesamtpreis*;Totalt pris;Cena całkowita;Totalpris 
Unit price;Stuk prijs;Prix unitaire;Stückpreis / Einzelpreis;Pris per enhet;Cena jednostkowa;Enhetspris 
Company name;Bedrijfsnaam;Nom de la compagnie;Name des Unternehmens;Företagets namn;Nazwa firmy;Firmanavn 
Last name Prefix;Voorvoegsel;Nom de famille;Präfix Ihres Nachnamen;Efternamn Prefix;Prefiks nazwiska;Prefiks for etternavn 
Search;Zoeken;Chercher;suchen;Sök;Szukaj;Søk
To continue you need to make a choice for the following:;Om verder te gaan, moet je een keuze maken voor het volgende:;Pour continuer, vous devez faire un choix pour ce qui suit:;Um fortzufahren, müssen Sie eine der folgenden Optionen auswählen:;För att kunna fortsätta måste du göra ett val för följande:;Aby kontynuować, musisz dokonać wyboru dla następujących elementów:;For å fortsette må du velge følgende: 
Unanswered mandatories;Onbeantwoorde vereisten;Exigences non répondues;Unbeantwortete Erforderlichkeiten;obesvarade uppdrag;Obowiązkowe zlecenia bez odpowiedzi;Ubesvarte obligatoriske felt
Resume configuration;Configuratie hervatten;reprendre la configuration;Konfiguration fortsetzen;Konfigurering av CV;Wznów konfigurację;Fortsett konfigurasjonen
Country;Land;Pays;Land;Land;Kraj;Land 
Street;Straat;Rue;Strasse;Gata;Ulica;Gate 
Logout;Uitloggen;Connectez - Out;ausloggen;Logga ut;Wyloguj;Logout 
Next;Volgende;Prochain;Weiter;Nästa;Dalej;Neste 
Previous;Vorige;Précédent;Zurück;Föregående;Poprzednio;Forrige
Salutation;Aanhef;Salutation;Anrede;Hälsning;Zwrot grzecznościowy;Hilsen 
Send;Versturen;Envoyer;senden;Skicka;Wyślij;Send
Switch Configuration;Kies Configuratie;choisir la configuration;Konfiguration wählen;Konfigurering av växlar;Przełącz konfigurację;Bytt konfigurasjon 
Different shipping address;Ander verzendadres;Adresse de livraison différente;Andere Lieferadresse (ontvanger toch?);Annan leveransadress;Inny adres wysyłki;Annen leveringsadresse 
Shipping address;Verzendingsadres;Adresse de livraison;Lieferadresse;Leveransadress;Adres wysyłki;Leveringsadresse 
Adjustment required;Aanpassing vereist;Ajustement requis;Änderung erforderlich;Anpassning krävs;Wymagane dostosowanie;Krever justering 
Requires the following to be removed;Vereist de volgende elementen te verwijderen;Il faut retirer les éléments suivants;Folgendes muss entfernt werden;Kräver att följande tas bort;Wymaga usunięcia następujących elementów;Krever at følgende fjernes: 
The selection of feature;De selectie van feature;La sélection de la fonctionnalité;Funktionsauswahl / Feature-Auswahl;Valet av funktion;Wybór elementów;Utvalget av funksjon 
Conflicting values;Conflicterende waarden;Des valeurs contradictoires;unvereinbare Werte;Motstridiga värden;Sprzeczne wartości;Motstridende verdier 
requested value of;gevraagde waarde van;valeur demandée de;angeforderter Wert von;Begärt värde för;żadana wartość;forespurt verdi av
will be;zal zijn;sera;wird sein;kommer att vara;będzie;vil være 
Requires adjustment of values;Vereist aanpassing van waarden;Nécessite un ajustement des valeurs;Eine Änderung der Werte is erforderlich;Kräver justering av värden;Wymaga korekty wartości;Krever justering av verdier 
Cancel;Annuleren;Annuler;abbrechen / beenden;Avbryt;Anuluj;Annullere 
Complete;Afronden;Complet;vollenden / fertig stellen;Slutför;Skończ;Fullføre
Select CRM account;Selecteer CRM account;Compte Selecteer CRM;wählen / selektieren Sie einen CRM-Konto;Välj CRM-konto;Wybierz konto CRM;Velg CRM-konto 
New CRM account;Nieuw CRM account;Nouveau compte CRM;Neues CRM-Konto;Nytt CRM-konto;Nowe konto CRM;Ny CRM-konto 
Full name (default);Volledige naam (default);Nom complet (par défaut);vollständiger Name (default);Fullständigt namn (standard);Imię i nazwisko (domyślnie);Fullt navn (standard) 
Address line;Adres;Adresse;Adresse;Adressrad;Linia adresowa;Adresselinje 
Primary phone;Telefoon;Téléphone;Haupttelefon ;Primär telefon;Telefon główny;Primær telefon 
Relationship type;Relatie soort;Type de relation;Art der Beziehung;Typ av relation;Typ relacji;Type relasjon 
Edit;Aanpassen;Ajuster;Ändern;Redigera;Edytuj;Redigere 
Save;Opslaan;Sauvez;speichern;Spara;Zapisz;Lagre 
Customer;Klant;Client;Kunde;Kund;Klient;Kunde 
Change customer;Wijzig klant;Changer de client;Kunde ändern;Ändra kund;Zmień klienta;Endre kunde 
Delivery;Levering;Livraison;Lieferung;Leverans;Dostawa;Levering 
Ship to customer;Verzenden naar klant;Livraison au client;An den Kunden senden;Skicka till kunden;Wyślij do klienta;Send til kunde 
Change shipping address;Wijzig verzendingsadres;Modifier l'adresse de livraison;Lieferadresse ändern;Ändra leveransadress;Znień adres dostawy;Endre leveringsadresse 
Business Info;Zakelijke informatie;Informations commerciales;Geschäftsinformationen;Information om företaget;Informacje o firmie;Informasjon om bedriften 
IBAN;IBAN;IBAN;IBAN-Nummer;IBAN;IBAN;IBAN 
CoC number;KvK nummer;Numéro de la Chambre de commerce;Nummer der Handelskammer;CoC-nummer;Numer REGON;CoC-nummer 
VAT number;BTW nummer;Numéro de TVA;Umsatzsteuer Identifikationsnummer (USt-ID);Momsnummer;Numer VAT;MVA-nummer 
Total;Totaal;Total;Gesamt;Totalt;Razem;Totalt
Enter configuration code;Voer configuratie code in;Entrez le code de configuration;Konfigurationscode eingeben;Ange konfigurationskod;Wprowadź kod konfiguracji;Angi konfigurasjonskode 
The required fields must be filled!;De verplichte velden moeten worden ingevuld!;Les champs obligatoires doivent Ãªtre remplis !;Die obligatorischen Felder müssen ausgefüllt werden!;De obligatoriska fälten måste fyllas i!;Wymagane pola muszą być uzupełnione!;De obligatoriske feltene må fylles ut! 
Create quote;Offerte aanmaken;Création d'un devis;Angebot erstellen;Skapa offert;Stwórz ofertę;Opprett tilbud 
Checkout;Kassa;Caisse;Kasse;Kassan;Kasa;Gå til kasse
New quotation created;Nieuwe offerte aangemaakt;Création d'un nouveau devis;Neues Angebot erstellt;Ny offert skapad;Nowa oferta stworzona;Nytt tilbud opprettet 
Create new quotation;Maak nieuwe offerte aan;Créer une nouvelle offre;Neues Angebot erstellen;Skapa en ny offert;Stwórz nową ofertę;Opprett nytt tilbud 
Yes;Ja;Oui;Ja  ;Ja;Tak;Ja 
No;Nee;Non;Nein;Nej;Nie;Nei 
Are you sure?;Weet je het zeker?;Vous êtes sûr ?;Sind Sie sich sicher?;Är du säker?;Czy jesteś pewny/a?;Er du sikker?
Leaving this page may cause you to lose your configuration. Are you sure you want to leave this page?;Het verlaten van deze pagina kan leiden tot verlies van je configuratie. Weet je zeker dat je de pagina wilt verlaten?;En quittant cette page, vous risquez de perdre votre configuration. Vous êtes sûr de vouloir quitter la page ?;Wenn Sie diese Seite verlassen, könnte Ihre Konfiguration verloren gehen. Möchten Sie die Seite wirklich verlassen?;Om du lämnar den här sidan kan du förlora din konfiguration. Är du säker på att du vill lämna den här sidan?;;Hvis du forlater denne siden, kan det føre til at du mister konfigurasjonen. Er du sikker på at du vil forlate denne siden? 
Invalid email;Verkeerd emailadres;Adresse électronique erronée;Ungültige E-Mailadresse;Felaktigt e-postmeddelande;Nieprawidłowy adres email;Ugyldig e-post 
This field is required;Dit invoerveld is verplicht;Ce champ de saisie est obligatoire;Diese Eingabefeld ist obligatorisch;Det här fältet är obligatoriskt;To pole jest wymagane;Dette feltet er obligatorisk
Copy configuration;Configuratie kopiëren;Copier la configuration;Konfiguration kopieren;Kopiera konfigurationen;Kopiuj konfigurację;Kopier konfigurasjon
Would you like to copy this configuration?;Wilt u de configuratie kopiëren?;Voulez-vous copier cette configuration ?;Wollen Sie diese Konfiguration kopieren?;Vill du kopiera den här konfigurationen?;Czy chcesz skopiować konfigurację?; Vil du kopiere denne konfigurasjonen? 
Copy;Kopieer;Copie;kopieren;Kopiera;Kopiuj;Kopi 
Delete configuration;Verwijder configuratie;Supprimer la configuration;Konfiguration löschen;Radera konfiguration;Usuń konfigurację;Slett konfigurasjon 
Are you sure you want to delete this configuration?;Weet u zeker dat u deze configuratie wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette configuration ?;Sind Sie sicher, dass Sie diese Konfiguration löschen wollen?;Är du säker på att du vill radera den här konfigurationen?;Czy na pewno chcesz usunąć tę konfigurację?;Er du sikker på at du vil slette denne konfigurasjonen? 
Save configuration code;Bewaar configuratie code;Sauvegarder le code de configuration;Bewahren Sie den Konfigurationscode;Spara konfigurationskod;Zapisz kod konfiguracji;Lagre konfigurasjonskode 
Using this code you can reopen your configuration at anytime, share it with friends or co-workers or send it to a dealer.;Met gebruik van deze code is het mogelijk om jouw configuratie altijd te openen, deel dit met je vrienden of collega's of verstuur de code naar een dealer.;Grâce à ce code, il est possible d'ouvrir votre configuration à tout moment, de la partager avec vos amis ou collègues ou d'envoyer le code à un revendeur.;Mit diesem Code können Sie Ihre Konfiguration jederzeit öffnen. Teilen Sie ihn mit Ihren Freunden und Kollegen oder schicken Sie den Code an einen Händler.;Med den här koden kan du öppna konfigurationen igen när som helst, dela den med vänner eller kollegor eller skicka den till en återförsäljare.;Za pomocą tego kodu możesz w dowolnym momencie ponownie otworzyć konfigurację, udostępnić ją znajomym lub współpracownikom lub wysłać do sprzedawcy.;Med denne koden kan du når som helst åpne konfigurasjonen på nytt, dele den med venner eller kolleger eller sende den til en forhandler.
Copy link;Kopieer link;Copier le lien;Link kopieren;Kopiera länk;Kopiuj link;Kopier kobling 
Language;Taal;Langue;Sprache;Språk;Język;Språk 
Name;Naam;;;;;Navn
Code;Code;;;;;Kode
Reference;Referentie;;;;;Referanse
Price;Prijs;;;;;Pris
Image;Afbeelding;;;;;Bilde
ADD;TOEVOEGEN;AJOUTER;HINZUFÜGEN;;;LEGG TIL
REMOVE;VERWIJDEREN;ÉLIMINER;LÖSCHEN;;;FJERN
This configuration is not possible. Your last change could not be saved.;Deze configuratie is niet mogelijk. Je laatste wijziging kon niet worden opgeslagen.;Cette configuration n'est pas possible. Votre dernière modification n'a pas pu être enregistrée.;Diese Konfiguration ist nicht möglich. Ihre letzte Änderung konnte nicht gespeichert werden.;;;Denne konfigurasjonen er ikke mulig. Den siste endringen kunne ikke lagres.
An error occurred;Er is een fout opgetreden;Une erreur s'est produite;Ein Fehler ist aufgetreten;;;Det oppstod en feil
